# Category: All categories
Week,python,javascript,C++,SQL
2013-06-09,42,58,42,95
2013-06-16,42,57,41,95
2013-06-23,41,58,40,93
2013-06-30,41,55,38,87
2013-07-07,43,57,39,94
2013-07-14,42,58,38,93
2013-07-21,41,57,38,92
2013-07-28,41,56,37,92
2013-08-04,61,55,37,89
2013-08-11,44,54,36,86
2013-08-18,42,56,39,88
2013-08-25,42,57,39,88
2013-09-01,41,55,41,86
2013-09-08,45,56,45,91
2013-09-15,45,56,46,90
2013-09-22,46,58,48,92
2013-09-29,45,57,48,90
2013-10-06,47,59,51,95
2013-10-13,47,59,50,90
2013-10-20,48,60,52,96
2013-10-27,46,57,48,90
2013-11-03,47,57,50,89
2013-11-10,48,60,50,94
2013-11-17,58,60,51,96
2013-11-24,61,57,48,88
2013-12-01,53,57,49,91
2013-12-08,48,58,47,91
2013-12-15,45,57,43,89
2013-12-22,37,42,33,56
2013-12-29,38,40,30,56
2014-01-05,44,54,40,85
2014-01-12,45,56,42,88
2014-01-19,46,57,44,90
2014-01-26,46,58,44,90
2014-02-02,46,56,44,88
2014-02-09,48,58,45,92
2014-02-16,49,60,46,94
2014-02-23,48,59,47,93
2014-03-02,52,59,47,92
2014-03-09,50,60,47,93
2014-03-16,49,59,46,91
2014-03-23,49,60,46,93
2014-03-30,49,59,46,93
2014-04-06,50,60,47,95
2014-04-13,49,57,43,87
2014-04-20,49,57,45,87
2014-04-27,46,54,41,81
2014-05-04,47,57,42,88
2014-05-11,48,56,43,91
2014-05-18,48,59,43,96
2014-05-25,44,56,41,88
2014-06-01,46,57,41,93
2014-06-08,45,55,39,89
2014-06-15,45,55,38,90
2014-06-22,46,56,37,91
2014-06-29,52,53,35,85
2014-07-06,48,55,36,88
2014-07-13,50,56,35,91
2014-07-20,56,57,35,90
2014-07-27,47,55,34,84
2014-08-03,45,56,36,89
2014-08-10,44,53,34,83
2014-08-17,45,56,37,89
2014-08-24,44,54,38,86
2014-08-31,45,54,40,84
2014-09-07,49,56,43,91
2014-09-14,49,56,45,90
2014-09-21,50,56,47,91
2014-09-28,50,53,46,86
2014-10-05,50,55,46,89
2014-10-12,50,56,47,90
2014-10-19,51,54,46,85
2014-10-26,50,56,47,91
2014-11-02,51,57,46,91
2014-11-09,51,57,48,90
2014-11-16,53,57,49,92
2014-11-23,48,54,46,83
2014-11-30,51,56,46,89
2014-12-07,50,56,45,88
2014-12-14,47,55,41,86
2014-12-21,37,40,32,56
2014-12-28,36,36,28,48
2015-01-04,45,50,37,79
2015-01-11,48,53,40,85
2015-01-18,50,56,42,88
2015-01-25,50,55,41,86
2015-02-01,53,57,43,90
2015-02-08,52,57,43,89
2015-02-15,49,55,42,84
2015-02-22,53,57,44,90
2015-03-01,54,56,45,88
2015-03-08,52,57,46,90
2015-03-15,52,57,45,91
2015-03-22,53,58,44,90
2015-03-29,50,55,42,84
2015-04-05,51,54,43,85
2015-04-12,53,57,44,90
2015-04-19,55,58,44,90
2015-04-26,52,54,41,83
2015-05-03,51,55,42,87
2015-05-10,52,56,41,88
2015-05-17,52,56,42,88
2015-05-24,49,54,40,86
2015-05-31,53,55,40,87
2015-06-07,52,56,39,88
2015-06-14,52,55,37,87
2015-06-21,55,55,37,90
2015-06-28,51,54,35,84
2015-07-05,51,54,35,87
2015-07-12,51,55,34,84
2015-07-19,51,55,33,84
2015-07-26,51,54,33,82
2015-08-02,50,54,35,83
2015-08-09,49,53,33,81
2015-08-16,50,53,35,84
2015-08-23,53,53,36,83
2015-08-30,54,53,38,83
2015-09-06,55,54,41,81
2015-09-13,57,54,42,84
2015-09-20,57,54,43,83
2015-09-27,56,54,44,83
2015-10-04,58,56,47,87
2015-10-11,58,54,46,86
2015-10-18,59,54,45,82
2015-10-25,57,55,46,86
2015-11-01,59,55,45,84
2015-11-08,57,53,44,79
2015-11-15,60,55,45,86
2015-11-22,55,52,43,76
2015-11-29,59,55,44,83
2015-12-06,60,56,43,83
2015-12-13,57,55,40,83
2015-12-20,47,43,33,60
2015-12-27,43,36,27,48
2016-01-03,56,50,36,71
2016-01-10,60,53,38,77
2016-01-17,62,54,41,81
2016-01-24,64,55,41,79
2016-01-31,66,56,42,82
2016-02-07,65,55,42,79
2016-02-14,65,57,43,81
2016-02-21,67,57,44,84
2016-02-28,67,57,44,83
2016-03-06,68,58,44,84
2016-03-13,67,58,44,85
2016-03-20,66,53,41,74
2016-03-27,66,55,42,76
2016-04-03,68,56,44,82
2016-04-10,69,56,43,82
2016-04-17,69,57,43,83
2016-04-24,67,54,42,82
2016-05-01,64,52,38,75
2016-05-08,66,56,40,81
2016-05-15,65,56,39,81
2016-05-22,68,57,39,81
2016-05-29,67,54,38,79
2016-06-05,66,56,37,82
2016-06-12,65,55,36,81
2016-06-19,67,56,36,82
2016-06-26,65,55,34,78
2016-07-03,62,51,32,72
2016-07-10,60,51,31,76
2016-07-17,64,53,32,78
2016-07-24,63,52,32,76
2016-07-31,62,51,33,77
2016-08-07,59,50,32,76
2016-08-14,55,45,29,70
2016-08-21,62,53,34,77
2016-08-28,65,51,36,74
2016-09-04,65,50,37,73
2016-09-11,67,51,39,75
2016-09-18,72,53,41,79
2016-09-25,73,54,43,80
2016-10-02,69,52,43,77
2016-10-09,73,53,44,78
2016-10-16,74,55,46,82
2016-10-23,76,56,45,80
2016-10-30,74,53,43,74
2016-11-06,74,55,44,80
2016-11-13,82,60,47,86
2016-11-20,72,54,43,76
2016-11-27,79,58,45,81
2016-12-04,77,56,44,78
2016-12-11,73,56,40,77
2016-12-18,68,53,36,71
2016-12-25,56,41,29,52
2017-01-01,65,48,32,66
2017-01-08,74,54,37,77
2017-01-15,77,57,40,78
2017-01-22,80,55,40,78
2017-01-29,79,56,40,79
2017-02-05,84,59,41,83
2017-02-12,84,59,42,82
2017-02-19,87,59,44,82
2017-02-26,87,61,46,84
2017-03-05,87,61,45,84
2017-03-12,87,61,44,82
2017-03-19,87,61,45,84
2017-03-26,99,62,44,84
2017-04-02,89,61,44,84
2017-04-09,86,57,42,76
2017-04-16,84,57,41,79
2017-04-23,86,59,42,82
2017-04-30,82,54,38,74
2017-05-07,85,59,40,83
2017-05-14,82,57,37,82
2017-05-21,80,54,36,78
2017-05-28,77,54,36,75
2017-06-04,80,54,34,76
2017-06-11,82,57,34,79
2017-06-18,84,56,33,78
2017-06-25,81,53,31,72
2017-07-02,79,52,32,73
2017-07-09,82,54,32,76
2017-07-16,83,56,33,78
2017-07-23,81,55,32,78
2017-07-30,81,56,32,76
2017-08-06,80,53,31,75
2017-08-13,77,50,29,72
2017-08-20,79,52,31,74
2017-08-27,81,52,33,74
2017-09-03,84,53,35,73
2017-09-10,91,55,38,80
2017-09-17,92,56,40,80
2017-09-24,93,55,40,79
2017-10-01,93,54,41,78
2017-10-08,94,56,43,81
2017-10-15,92,54,42,76
2017-10-22,96,56,43,81
2017-10-29,93,54,42,78
2017-11-05,100,58,44,84
2017-11-12,99,58,43,83
2017-11-19,89,53,40,74
2017-11-26,94,54,42,77
